player_type,player_key,playerid,mlbamid,name,team,weekly_projection_index,projection_rank
pitcher,27926,27926,689441,Coleman Crow,MIL,113.8,1
batter,19556,19556,670541,Yordan Alvarez,HOU,97.0,2
batter,29576,29576,700250,Ben Rice,NYY,95.2,3
batter,15640,15640,592450,Aaron Judge,NYY,94.4,4
batter,11579,11579,547180,Bryce Harper,PHI,93.6,5
batter,28806,28806,694192,Jackson Chourio,MIL,93.6,6
batter,14344,14344,621566,Matt Olson,ATL,93.2,7
batter,25816,25816,669127,Shea Langeliers,ATH,91.6,8
batter,13301,13301,571970,Max Muncy,LAD,91.4,9
batter,30116,30116,673548,Seiya Suzuki,CHC,89.5,10
batter,15998,15998,641355,Cody Bellinger,NYY,88.2,11
batter,16478,16478,656941,Kyle Schwarber,PHI,87.9,12
batter,31539,31539,686948,Drake Baldwin,ATL,87.7,13
batter,31382,31382,687221,Dalton Rushing,LAD,87.6,14
pitcher,32095,32095,693645,Cam Schlittler,NYY,87.1,15
batter,11609,11609,575929,Willson Contreras,BOS,86.6,16
batter,32127,32127,800050,Chase DeLauter,CLE,86.4,17
pitcher,19755,19755,660271,Shohei Ohtani,LAD,86.1,18
batter,35110,35110,701762,Nick Kurtz,ATH,85.9,19
batter,19755,19755,660271,Shohei Ohtani,LAD,85.5,20
batter,13419,13419,572233,Christian Walker,HOU,85.4,21
pitcher,10954,10954,594798,Jacob deGrom,TEX,85.2,22
batter,23772,23772,677800,Wilyer Abreu,BOS,84.5,23
pitcher,31986,31986,800048,Parker Messick,CLE,84.2,24
batter,19251,19251,624413,Pete Alonso,BAL,83.7,25
batter,18882,18882,664040,Brandon Lowe,PIT,83.4,26
pitcher,33703,33703,690997,Nolan McLean,NYM,83.2,27
batter,25878,25878,682998,Corbin Carroll,ARI,83.0,28
batter,21842,21842,666126,Carlos Cortes,ATH,82.9,29
batter,25931,25931,671739,Michael Harris II,ATL,82.6,30
batter,22186,22186,668930,Brice Turang,MIL,82.2,31
pitcher,30182,30182,701542,Will Warren,NYY,81.9,32
batter,17548,17548,621493,Taylor Ward,BAL,81.7,33
batter,37123,37123,672960,Kazuma Okamoto,TOR,81.4,34
batter,25764,25764,677951,Bobby Witt Jr.,KCR,81.3,35
batter,17919,17919,664023,Ian Happ,CHC,81.1,36
batter,14161,14161,621439,Byron Buxton,MIN,80.8,37
pitcher,20778,20778,650911,Cristopher Sánchez,PHI,80.7,38
batter,19611,19611,665489,Vladimir Guerrero Jr.,TOR,80.6,39
batter,18401,18401,660670,Ronald Acuña Jr.,ATL,79.7,40
batter,13510,13510,608070,José Ramírez,CLE,79.6,41
batter,16442,16442,656811,Ryan O'Hearn,PIT,79.2,42
pitcher,19959,19959,666200,Jesús Luzardo,PHI,79.0,43
batter,24618,24618,680777,Ryan Jeffers,MIN,78.9,44
batter,26288,26288,668939,Adley Rutschman,BAL,77.6,45
batter,5361,5361,518692,Freddie Freeman,LAD,77.6,46
pitcher,10310,10310,554430,Zack Wheeler,PHI,77.2,47
batter,27577,27577,669477,Casey Schmitt,SFG,77.1,48
pitcher,29839,29839,686218,Emmet Sheehan,LAD,76.6,49
batter,11442,11442,596142,Gary Sánchez,MIL,76.6,50
batter,9218,9218,502671,Paul Goldschmidt,NYY,76.6,51
pitcher,33829,33829,684007,Shota Imanaga,CHC,76.3,52
pitcher,33825,33825,808967,Yoshinobu Yamamoto,LAD,76.2,53
batter,24816,24816,681624,Andy Pages,LAD,76.1,54
pitcher,35333,35333,695505,Chase Burns,CIN,75.9,55
pitcher,31623,31623,694819,Jacob Misiorowski,MIL,75.5,56
pitcher,18383,18383,647336,Michael Soroka,ARI,75.5,57
batter,13611,13611,605141,Mookie Betts,LAD,75.4,58
batter,21711,21711,665833,Oneil Cruz,PIT,75.4,59
batter,28820,28820,694208,Moisés Ballesteros,CHC,75.2,60
batter,22217,22217,669134,Luis Campusano,SDP,75.1,61
batter,10155,10155,545361,Mike Trout,LAA,74.9,62
pitcher,10603,10603,519242,Chris Sale,ATL,74.7,63
batter,20123,20123,665742,Juan Soto,NYM,74.2,64
batter,18564,18564,663757,Trent Grisham,NYY,73.8,65
batter,26368,26368,668709,JJ Bleday,CIN,73.7,66
batter,15194,15194,641343,Jake Bauers,MIL,73.5,67
batter,16556,16556,645277,Ozzie Albies,ATL,73.5,68
batter,20503,20503,661388,William Contreras,MIL,73.4,69
batter,27467,27467,691016,Tyler Soderstrom,ATH,73.0,70
pitcher,21390,21390,657746,Joe Ryan,MIN,72.8,71
pitcher,33677,33677,694973,Paul Skenes,PIT,72.8,72
pitcher,35466,35466,801139,Payton Tolle,BOS,72.8,73
batter,35041,35041,695506,Jac Caglianone,KCR,72.6,74
batter,19197,19197,669257,Will Smith,LAD,72.6,75
batter,18345,18345,663656,Kyle Tucker,LAD,72.5,76
batter,37120,37120,808959,Munetaka Murakami,CHW,72.4,77
pitcher,23590,23590,676962,Ben Brown,CHC,72.0,78
batter,13324,13324,545121,Ildemaro Vargas,ARI,72.0,79
pitcher,14107,14107,592332,Kevin Gausman,TOR,71.8,80
batter,19296,19296,669743,Alex Call,LAD,71.6,81
batter,19326,19326,668804,Bryan Reynolds,PIT,71.2,82
batter,28824,28824,694212,Samuel Basallo,BAL,71.2,83
pitcher,29914,29914,674841,Andrew Alvarez,WSN,71.0,84
batter,29518,29518,695578,James Wood,WSN,71.0,85
batter,21501,21501,663616,Trevor Larnach,MIN,71.0,86
batter,11493,11493,592518,Manny Machado,SDP,70.9,87
batter,20202,20202,669016,Brandon Marsh,PHI,70.7,88
batter,13613,13613,606466,Ketel Marte,ARI,70.6,89
batter,20036,20036,670623,Isaac Paredes,HOU,70.3,90
batter,16472,16472,656555,Rhys Hoskins,CLE,70.3,91
batter,22799,22799,672695,Geraldo Perdomo,ARI,70.1,92
batter,28080,28080,691176,Jasson Domínguez,NYY,69.8,93
batter,17982,17982,664034,Ty France,SDP,69.6,94
batter,19956,19956,666160,Mickey Moniak,COL,69.4,95
batter,28163,28163,691406,Junior Caminero,TBR,69.1,96
batter,25867,25867,668952,Ryan Kreidler,MIN,69.1,97
batter,21479,21479,663538,Nico Hoerner,CHC,68.7,98
pitcher,23335,23335,676282,Joey Cantillo,CLE,68.5,99
batter,26319,26319,683737,Michael Busch,CHC,68.3,100
batter,31505,31505,701398,Sal Stewart,CIN,67.8,101
pitcher,25385,25385,656876,Drew Rasmussen,TBR,67.7,102
batter,13620,13620,608348,Carson Kelly,CHC,67.6,103
batter,26668,26668,682829,Elly De La Cruz,CIN,67.4,104
batter,15362,15362,643446,Jeff McNeil,ATH,67.3,105
batter,33572,33572,805808,Kevin McGonigle,DET,67.1,106
batter,19566,19566,663993,Nathaniel Lowe,CIN,66.8,107
batter,26289,26289,683002,Gunnar Henderson,BAL,66.7,108
batter,12161,12161,593428,Xander Bogaerts,SDP,66.7,109
pitcher,30146,30146,683004,Jack Leiter,TEX,66.6,110
